review_id;airline_name;review_rating;review_date;travel_date;date_dif;flight_length;booking_class;flight_origin;flight_destination;seat_comfort;customer_service;cleanliness;food_beverage;ife;value_for_money;check_in_boarding;full_review
452198985;Lufthansa;2;15.01.17;Dec 16;1;International;Premium Economy;Singapore;Frankfurt;3;2;3;1;5;2;1;I can confidently say that for every other airline I've flown with, customer service has been infinitely better than with Lufthansa. The aircraft (new A380) was excellent but customer service was poor. Our tickets were for Premium Economy but I fail to see what additional benefit(s) we incurred over Standard Economy. The service was inferior to standard economy in Singapore Airlines. Cabin staff appeared to be unhappy (hardly a smile from anyone) and more concerned with getting their job done as fast as possible rather than with any notion of customer excellence. The standard of food was inferior in terms of food quality and presentation (in fact dreadful). Lufthansa's boarding procedures both in Singapore and Frankfurt were disorganized, undisciplined and frankly chaotic. Boarding announcements at the gate were inaudible. And they failed to transfer our luggage onto our connecting flights so we had the additional inconvenience of no luggage for 2 days at our destination. Definitely not value for money.
451338524;Lufthansa;3;11.01.17;Jan 17;0;International;Business Class;Bangalore;Frankfurt;;;;;;;;Booked in Premium economy and as they are booked gave a discounted offer for upgrade and I took it... Food is decent and service looked a bit odd compared to other airlines... Boarding process can be a bit smoother . Movies selection is not that great. Did not find so Indian as they advertise....May be they improved from earlier but compared to other options not a great preference
451230306;Lufthansa;3;11.01.17;Dec 16;1;Europe;Economy;Manchester;Frankfurt;4;3;4;3;;;5;We needed to connect in FRA with a longhaul flight. Check in was good and luggage booked right to the next flight. Overall the service was good but somehow it just does not measure up to other lines I fly. Price was OK so that helped.
451118541;Lufthansa;5;10.01.17;Dec 16;1;International;Economy;Hong Kong;Frankfurt;4;4;4;4;4;3;4;The airbus A380 really makes a difference, cabins are more spacious, overall quieter and you don't feel that you're flying as much as on smaller planes.Service was good and there were enough toilets in good condition at the back of the plane. One annoyance is that there are too many announcements, as next to the security announcement in 3 language, the captain will tell the whole plane about all connecting flight and what gate they depart. This should be displayed personally on the entertainment system. No need to tell everybody.
450305293;Lufthansa;5;07.01.17;Dec 16;1;International;Business Class;Vancouver;Frankfurt;5;5;4;5;5;5;4;Wonderful experience. The flight attendants always provided something extra and did everything to make this a great travel experience. We felt really spoiled. Seats were very comfortable. I would have to say the same about the return flight. We are flying Lufthansa frequently and have always had a good experience and it is our preferred airline, service is always impeccable, they are generally on time and we feel in good hands with Lufthansa.
449920459;Lufthansa;5;06.01.17;Jan 17;0;Europe;Economy;Porto;Frankfurt;4;4;5;4;3;4;5;Quick Check in Pontual on departure and landingGood onboard serviceFast desambarking the planeOnce again no complains
449900564;Lufthansa;1;06.01.17;Jan 17;0;International;Economy;Singapore;Frankfurt;4;2;;;3;2;;LH does it again, managing to destroy a brand new A380. In 2016 not to have a usb charging port, super minimizing the tv screens, having a leaky aircon on top of my window seat, are just the lowlights of my 13h LH flight.
449586024;Lufthansa;5;05.01.17;Dec 16;1;Europe;Economy;Timisoara;Frankfurt;4;5;5;3;3;3;5;Despite the high prices (sometimes) I consider Lufthansa a very good provider because of the delivered services (clean, on schedule, mobile app, good connections, secure, planes).
449082471;Lufthansa;3;03.01.17;Dec 16;1;Domestic;Business Class;Hamburg;Frankfurt;3;3;4;3;3;2;4;Though it was a short haul trip, just about an hour or so, but I did not expect that Economy class seats can be converted to Business class just by removing middle seat. This is what Lufthansa has done to cut cost. So seat comfort is still the same, and all you get is a vacant middle seat. This is equivalent of cheating.Food was ok, so no complaints there.
448803361;Lufthansa;5;03.01.17;Dec 16;1;International;Business Class;Johannesburg;Frankfurt;5;5;5;5;5;4;4;We recently flew Lufthansa from South Africa to Germany and return. I can highly recommend the carrier. The crew from check in to in flight were efficient and extremely helpful and friendly. The on board cabin crew went out of their way to ensure our absolute comfort and safety. The meals were first class and flying business class allowed for comfort and space for travelling and sleeping. We arrived feeling fresh and ready for our stay in Germany. We travelled the airline both internationally and locally in country. The levels of service was maintained throughout.
448609041;Lufthansa;4;02.01.17;Dec 16;1;Europe;Economy;Gdansk;Frankfurt;4;5;4;1;2;4;5;Very good service at check in, at boarding and in the plane. The flight was on time and we didn't wait. We were seated on the row nb 3 in front. Only one disapointing topic: the sandwich given which is not a the level of quality expected
448466699;Lufthansa;4;02.01.17;Jul 16;6;International;Economy;Bangalore;Frankfurt;3;5;5;3;3;4;5;Its an above average. Food was not that tasty. But other service was good. When I flew for first time, I got upgraded from Economy to Business class. It was really awesome.
448220571;Lufthansa;4;01.01.17;Jul 16;6;International;Economy;Hong Kong;Frankfurt;4;4;4;3;4;4;4;Nice experience with Lufthansa, efficient and on time. Very comfortable seat and nice staffs. Movie choice is great. Drinks are offered all the time, easy to get water.
448071868;Lufthansa;4;31.12.16;Nov 16;1;International;Premium Economy;Amman;Frankfurt;3;4;4;4;2;4;4;Lufthansa provides efficient, on-time (usually) connections to major European hubs. The flight from Amman to Frankfurt was a 2AM departure, but still the cabin crew offered friendly service along the way, with an above-average breakfast just before our 6AM landing.
447901223;Lufthansa;4;30.12.16;Dec 16;0;International;Economy;Delhi;Frankfurt;2;5;4;4;3;4;4;"They just kept serving the drinks no matter what. Glad to leave India (Delhi) and arrived in Frankfurt on time. In fact we arrived early. How is it that ""Star Alliance"" can have Air India in their stable is beyond me."
447797540;Lufthansa;3;30.12.16;Dec 16;0;International;Economy;Miami;Frankfurt;4;4;4;4;4;3;3;No second once more.It was a really disappointing flight, we had in Miami a 50-minute delay we have missed our flight from Frankfurt to Amsterdam.We would leave at 9:00 a.m., but have missed our flight to Amsterdam, by the delay in Miami.We got another flight but had to 3.5 hours of waiting. And were given but ‰âÂ 7 per person to spend on the airport that's really pathetic.
447773280;Lufthansa;3;30.12.16;Dec 16;0;International;Economy;Plaisance;Frankfurt;5;1;;;4;2;;Its first time I experience this on a long flight. We flew in the morning and we had a 12h fly to Germany with Lufthansa. The crew served us our lunch 2 hours after take off (at about 11 o clock in the morning). The lunch was chicken with rice and salad with fruits. Nothing that can fill you up. After this they served tea and coffee and bottles of water and then they disappear until the last 1,5h before we arrive in Frankfurt!! So they served us dinner. Kids and people were hungry during the flight. Luckily we had some candies and some left overs from the breakfast. I dont get why bothering with the dinner 1,5h before we arrive. Not to mention that we had no option for this. It was literally pasta with a piece of bread and butter and a role in a lunch box. I didnt expect anything like that from Lufthansa. I thought it is a good airline and at least they could go around asking if we are thirsty in such a long flight. It wasnt nighttime, everybody was awaken. Seriously disappointed. The seats are comfy but the plane is old. The funny thing is that accidentally we flew to Mauritius with a low cost airline which made me worried in the beginning. In fact it was much better than this.
447399406;Lufthansa;5;29.12.16;Aug 16;4;Europe;Economy;Dublin;Frankfurt;5;5;;;2;5;;Overall a good experience with Lufthansa no nonsense or problems just on and off the plane as customers would want!The staff were friendly and helpful, if we needed anything it was supplied and the seats were very comfyWill use again 100%
447023289;Lufthansa;4;27.12.16;Dec 16;0;Europe;Economy;London;Frankfurt;5;5;4;3;;4;4;I used Lufthansa on countless occasions throughout the last 10 years.Their planes are usually comfortable, although the legroom can be a bit tight on smaller aircrafts. More often than not are Lufthansa flights delayed or their pilots are on a strike, which caused me some headaches when travelling on business. I would generally recommend Lufthansa, but am a bit annoyed about these inconsistencies.
446816029;Lufthansa;1;26.12.16;Dec 16;0;International;Economy;Washington;Frankfurt;1;1;1;1;2;1;2;The flight attendants were very rude and one of the attendants actually told a father of a 2 year old to keep him quiet because it was annoying that he got sick. The food was gross and I will never fly with this airline again.
446647322;Lufthansa;5;25.12.16;Dec 16;0;Europe;Business Class;Oslo;Frankfurt;3;5;;;1;3;;Very friendly and professional staff.Flight was smooth and no complications at all.Breakfast was good- greek yoghurt, choices of bread, variety of cheeses and ham. Most drinks available as well.Enough space for legs and as I had the whole row to myself, had a nice nap.Extra pillow was also available.No complaints, still one of my favorite airlines in Europe!
446553561;Lufthansa;4;25.12.16;Dec 16;0;International;Premium Economy;Tel-aviv;Frankfurt;4;4;5;3;3;4;5;Safe and on schedule flight. Comfortable seats. Helpful crew and Good service. Acceptable food. Recommended.
446434651;Lufthansa;4;24.12.16;Dec 16;0;Europe;Economy;Venice;Frankfurt;5;5;5;2;3;4;5;This was the first leg of a Venice-Frankfurt, Frankfurt-Shanghai journey. Nothing to complain about, the flight was punctual, and the staff polite, helpful & professional. Lots of leg room compared to the budget flights I'm used to! Only mini-moan was the food, a few biscuits and a drink on a flight around lunch time.
446425288;Lufthansa;5;24.12.16;Oct 16;2;International;Economy;Tel-aviv;Frankfurt;5;5;5;4;4;5;5;We traveled from Tel-Aviv to Frankfurt. Good service, clean and new aircraft. Good space for legs. Nice food.
446297132;Lufthansa;2;23.12.16;Dec 16;0;International;Premium Economy;Dallas;Frankfurt;4;1;;;4;2;;After a cancelled flight, missing luggage, lack of care, and fifteen hours in the airport before being able to board a plane, I will never consider riding with Lufthansa again. I have never been treated like a disposable nuisance quite as much as today. After Lufthansa lost my emotional support dogs crate and me searching (more like running in every wrong direction in the airport), I nearly broke down in tears because nobody seemed to want or care to help me. A very kind man (the only friendly Lufthansa employee I encountered) noticed I was upset and finally helped me retrieve my missing dog crate. Without him, I'm not sure I would have found it. Without going into too much more detail (because I could go on all day), the icing on the cake was being told that I can not have a cup of water on my connecting flight even though we are sitting (yes I am typing this in the airplane) in a seemingly ongoing delayed flight. I have been traveling for well over 24 hours and don't find it that absurd to ask for one of the most basic human needs. The service is terrible, the employees have an attitude, and I have never felt less like an object in my life.
446176352;Lufthansa;3;22.12.16;Sep 16;3;International;Business Class;Vancouver;Frankfurt;3;3;4;3;3;3;4;I have flown economy on this same flight Vancouver to Frankfurt many many times. i just started booking a business class seat a few years ago and although i do like the space and the comfort of business class....when it comes to the service on the plane i more or less feel like i'm still in economy. yes, the food is better but i guess i just want a few more smiles and attitude of caring from the flight attendants. aren't we all happy to be in this section of the plane? so no complaints really....but i just keep hoping for an attitude that is about 10% better. see you next time Lufthansa!
446170396;Lufthansa;5;22.12.16;Dec 16;0;International;Premium Economy;Singapore;Frankfurt;4;5;;;5;5;;I have used business class and economy when it comes to overseas flights, so I know the difference. The premium economy of Lufthansa is a perfect middle ground and worth every cent in my opinion. I'm about 1.90m and the legroom was more than enough. I could stretch and actually sleep. Crew was extremely friendly and food was good. Lufthansa is setting a new standard here.
445944461;Lufthansa;4;21.12.16;Oct 16;2;International;Economy;Panama City;Frankfurt;3;5;5;5;5;4;5;It was a long flight, I was flying on economy, the service was fantastic, the seats were as on all econo flights uncomfortable, but the service was great onboard dinner, breakfast, movies, great attention from the flight crew, had no problem with timing or luggage.
445620809;Lufthansa;5;20.12.16;Nov 16;1;International;Business Class;Vancouver;Frankfurt;5;5;5;5;5;4;5;Very good experience for a very long flight. Seats open horizantally to make sleep possible. Food good and elegantly served. Staff attentive and smiling. Entertainment console very good (choose from 160 movies!).
444975308;Lufthansa;4;18.12.16;Dec 16;0;International;First Class;Los Angeles;Frankfurt;5;4;5;5;5;3;3;We flew from LA to Frankfurt on Lufthansa's wonderful 380, First Class. High praise, once on board, as you really feel like there are only 8 people on the plane. In many ways, you felt like you were on your own private jet. The seat pods were the best I have experienced while traveling to Europe. Other than Singapore Airlines, these are the most comfortable and well thought-out seats. When the seats were transformed into beds they were very comfortable and I slept 8 hours. I did not eat the wonderful dinner that was offered, preferring to sleep, but it was a world-class menu. Breakfast was individually prepared and was excellent. I love the fact that they don't have overhead bins
444966344;Lufthansa;5;18.12.16;Dec 16;0;Domestic;Economy;Hamburg;Frankfurt;;;;;;;;the check in was perfect. So the nice staff gave me the boarding card until my final destination Phuket. I was surprise because i moved form Lufthansa to Thai. Last time Thai airways in FFM was not will to check the baggage to the final Thai destination so we moved back to Lufthansa and we never will play with other partner
444906021;Lufthansa;3;17.12.16;Dec 16;0;International;Economy;Hong Kong;Frankfurt;;;;;;;;Flew on the Airbus A380 (not a comfortable plane) on the upper deck. The arm rest between my wife and I was broken and would only go up half way, which didn't help with the comfort level of the flight. Service from the flight crew was excellent however.
444540419;Lufthansa;1;15.12.16;Dec 16;0;International;Economy;San Francisco;Frankfurt;1;1;1;1;1;1;1;Flight was overbooked. We are a family of four, and arrived well in advance, but were put on standby, and got completely separated seats. They did not even try to put us nearby.We travel a lot, and this is the very first time I've had this kind of customer service. Avoid!!!
444532076;Lufthansa;4;15.12.16;Dec 16;0;Europe;Economy;Minsk;Frankfurt;;;;;;;;"I've flown some long haul flights with Lufthansa before and two weeks ago had to fly with them from Cape Town to Munich to Warsaw and back, but as they had a strike on, was rerouted on other airlines. But with this trip, the strike was over and I flew from Frankfurt to Minsk and back. The flights was on a small Embraer E90/95 airplane. Service on-board was good as was check in on both directions.However, what was a bummer was that I had pre-booked seats in both directions and on both occasions I did not get the seats I reserved, so I am at a loss in what's the use of pre-booking"" just to not get what you request. Similarly with meals, but fortunately they had a choice of cake or turkey sandwich to Minsk and cheese or turkey from Minsk, so vegetarians or those with special meal requirements at least had an option"
