review_id;airline_name;review_rating;review_date;travel_date;date_dif;flight_length;booking_class;flight_origin;flight_destination;seat_comfort;customer_service;cleanliness;food_beverage;ife;value_for_money;check_in_boarding
452198985;Lufthansa;2;15.01.17;Dec 16;1;International;Premium Economy;Singapore;Frankfurt;3;2;3;1;5;2;1
451338524;Lufthansa;3;11.01.17;Jan 17;0;International;Business Class;Bangalore;Frankfurt;;;;;;;
451230306;Lufthansa;3;11.01.17;Dec 16;1;Europe;Economy;Manchester;Frankfurt;4;3;4;3;;;5
451118541;Lufthansa;5;10.01.17;Dec 16;1;International;Economy;Hong Kong;Frankfurt;4;4;4;4;4;3;4
450305293;Lufthansa;5;07.01.17;Dec 16;1;International;Business Class;Vancouver;Frankfurt;5;5;4;5;5;5;4
449920459;Lufthansa;5;06.01.17;Jan 17;0;Europe;Economy;Porto;Frankfurt;4;4;5;4;3;4;5
449900564;Lufthansa;1;06.01.17;Jan 17;0;International;Economy;Singapore;Frankfurt;4;2;;;3;2;
449586024;Lufthansa;5;05.01.17;Dec 16;1;Europe;Economy;Timisoara;Frankfurt;4;5;5;3;3;3;5
449082471;Lufthansa;3;03.01.17;Dec 16;1;Domestic;Business Class;Hamburg;Frankfurt;3;3;4;3;3;2;4
448803361;Lufthansa;5;03.01.17;Dec 16;1;International;Business Class;Johannesburg;Frankfurt;5;5;5;5;5;4;4
448609041;Lufthansa;4;02.01.17;Dec 16;1;Europe;Economy;Gdansk;Frankfurt;4;5;4;1;2;4;5
448466699;Lufthansa;4;02.01.17;Jul 16;6;International;Economy;Bangalore;Frankfurt;3;5;5;3;3;4;5
448220571;Lufthansa;4;01.01.17;Jul 16;6;International;Economy;Hong Kong;Frankfurt;4;4;4;3;4;4;4
448071868;Lufthansa;4;31.12.16;Nov 16;1;International;Premium Economy;Amman;Frankfurt;3;4;4;4;2;4;4
447901223;Lufthansa;4;30.12.16;Dec 16;0;International;Economy;Delhi;Frankfurt;2;5;4;4;3;4;4
447797540;Lufthansa;3;30.12.16;Dec 16;0;International;Economy;Miami;Frankfurt;4;4;4;4;4;3;3
447773280;Lufthansa;3;30.12.16;Dec 16;0;International;Economy;Plaisance;Frankfurt;5;1;;;4;2;
447399406;Lufthansa;5;29.12.16;Aug 16;4;Europe;Economy;Dublin;Frankfurt;5;5;;;2;5;
447023289;Lufthansa;4;27.12.16;Dec 16;0;Europe;Economy;London;Frankfurt;5;5;4;3;;4;4
446816029;Lufthansa;1;26.12.16;Dec 16;0;International;Economy;Washington;Frankfurt;1;1;1;1;2;1;2
446647322;Lufthansa;5;25.12.16;Dec 16;0;Europe;Business Class;Oslo;Frankfurt;3;5;;;1;3;
446553561;Lufthansa;4;25.12.16;Dec 16;0;International;Premium Economy;Tel-aviv;Frankfurt;4;4;5;3;3;4;5
446434651;Lufthansa;4;24.12.16;Dec 16;0;Europe;Economy;Venice;Frankfurt;5;5;5;2;3;4;5
446425288;Lufthansa;5;24.12.16;Oct 16;2;International;Economy;Tel-aviv;Frankfurt;5;5;5;4;4;5;5
446297132;Lufthansa;2;23.12.16;Dec 16;0;International;Premium Economy;Dallas;Frankfurt;4;1;;;4;2;
446176352;Lufthansa;3;22.12.16;Sep 16;3;International;Business Class;Vancouver;Frankfurt;3;3;4;3;3;3;4
446170396;Lufthansa;5;22.12.16;Dec 16;0;International;Premium Economy;Singapore;Frankfurt;4;5;;;5;5;
445944461;Lufthansa;4;21.12.16;Oct 16;2;International;Economy;Panama City;Frankfurt;3;5;5;5;5;4;5
445620809;Lufthansa;5;20.12.16;Nov 16;1;International;Business Class;Vancouver;Frankfurt;5;5;5;5;5;4;5
444975308;Lufthansa;4;18.12.16;Dec 16;0;International;First Class;Los Angeles;Frankfurt;5;4;5;5;5;3;3
444966344;Lufthansa;5;18.12.16;Dec 16;0;Domestic;Economy;Hamburg;Frankfurt;;;;;;;
444906021;Lufthansa;3;17.12.16;Dec 16;0;International;Economy;Hong Kong;Frankfurt;;;;;;;
444540419;Lufthansa;1;15.12.16;Dec 16;0;International;Economy;San Francisco;Frankfurt;1;1;1;1;1;1;1
444532076;Lufthansa;4;15.12.16;Dec 16;0;Europe;Economy;Minsk;Frankfurt;;;;;;;
444342920;Lufthansa;1;14.12.16;Nov 16;1;International;Premium Economy;Sydney;Frankfurt;;;;;;;
443624906;Lufthansa;3;11.12.16;Dec 16;0;Europe;Economy;Kiev;Frankfurt;1;2;3;2;1;2;3
443282537;Lufthansa;3;10.12.16;Dec 16;0;Europe;Economy;London;Frankfurt;4;3;;;3;4;
443036241;Lufthansa;5;09.12.16;Oct 16;2;Domestic;Economy;Berlin;Frankfurt;4;5;5;4;4;4;5
442973428;Lufthansa;4;08.12.16;Nov 16;1;International;Premium Economy;Orlando;Frankfurt;4;5;4;5;5;5;5
442822962;Lufthansa;1;08.12.16;Nov 16;1;International;Premium Economy;Johannesburg;Frankfurt;2;1;2;1;2;1;1
442025096;Lufthansa;3;04.12.16;Dec 16;0;Europe;Economy;London;Frankfurt;3;3;;;3;3;
441866733;Lufthansa;4;03.12.16;Nov 16;1;Europe;Economy;Rome;Frankfurt;3;4;3;3;;3;4
441855708;Lufthansa;1;03.12.16;Dec 16;0;International;Business Class;Ashkhabad;Frankfurt;1;1;;;1;1;
441830844;Lufthansa;4;03.12.16;Aug 16;4;Europe;Economy;Riga;Frankfurt;3;5;5;4;1;5;5
441775845;Lufthansa;5;03.12.16;Nov 16;1;International;Economy;Detroit;Frankfurt;5;5;4;5;4;4;5
441745113;Lufthansa;1;03.12.16;Dec 16;0;International;Economy;Shanghai;Frankfurt;1;1;5;1;4;3;1
441625746;Lufthansa;1;02.12.16;Dec 16;0;International;Economy;Toronto;Frankfurt;1;1;1;1;1;1;1
441515699;Lufthansa;3;02.12.16;Dec 16;0;Europe;Business Class;Luxemburg;Frankfurt;3;4;;;;3;
441395059;Lufthansa;3;01.12.16;Dec 16;0;Europe;Business Class;Stockholm;Frankfurt;2;;;;1;3;
441082020;Lufthansa;3;30.11.16;Nov 16;0;Europe;Business Class;Krakow;Frankfurt;3;4;4;3;1;3;4
441080051;Lufthansa;5;30.11.16;Nov 16;0;International;Business Class;Riyadh;Frankfurt;4;5;5;4;3;5;5
440764358;Lufthansa;4;28.11.16;Apr 16;7;International;Economy;Newark;Frankfurt;3;3;3;4;4;3;3
440476395;Lufthansa;4;27.11.16;Sep 16;2;International;Economy;Chicago;Frankfurt;3;5;5;5;5;4;5
440285923;Lufthansa;5;27.11.16;Nov 16;0;Europe;Business Class;Bologna;Frankfurt;5;5;;;3;5;
440047720;Lufthansa;4;25.11.16;Oct 16;1;International;Premium Economy;Houston;Frankfurt;5;4;5;4;4;4;5
439538552;Lufthansa;4;23.11.16;Oct 16;1;International;Business Class;Bangalore;Frankfurt;4;4;4;4;3;4;4
439404948;Lufthansa;2;22.11.16;Oct 16;1;Europe;Economy;Athens;Frankfurt;2;1;1;1;2;2;1
439304866;Lufthansa;3;22.11.16;Nov 16;0;International;Premium Economy;Mexico City;Frankfurt;3;4;4;3;4;4;5
438729200;Lufthansa;3;20.11.16;Nov 16;0;International;Economy;Denver;Frankfurt;3;3;4;2;3;3;2
437771321;Lufthansa;3;16.11.16;Nov 16;0;International;Business Class;New York;Frankfurt;1;4;4;3;3;2;4
437571197;Lufthansa;3;15.11.16;Oct 16;1;International;Economy;Orlando;Frankfurt;1;3;2;3;5;1;5
437278589;Lufthansa;3;14.11.16;Nov 16;0;Europe;Economy;Athens;Frankfurt;2;1;2;1;2;2;1
437260820;Lufthansa;4;14.11.16;Aug 16;3;Europe;Economy;London;Frankfurt;4;5;5;4;5;5;5
437254410;Lufthansa;5;14.11.16;Oct 16;1;International;Business Class;Denver;Frankfurt;5;5;5;4;5;5;5
436751793;Lufthansa;4;13.11.16;Nov 16;0;Europe;Economy;Sofia;Frankfurt;3;4;4;2;2;3;4
436726440;Lufthansa;3;12.11.16;Nov 16;0;International;Business Class;Osaka;Frankfurt;3;3;;;4;3;
436172193;Lufthansa;4;10.11.16;Jan 16;10;International;Economy;Miami;Frankfurt;1;4;4;4;5;3;4
435998853;Lufthansa;3;09.11.16;Oct 16;1;International;Economy;Orlando;Frankfurt;2;4;2;1;3;3;2
435769739;Lufthansa;2;09.11.16;Apr 16;7;Europe;Business Class;Malta;Frankfurt;;;;;;;
435658770;Lufthansa;5;08.11.16;Oct 16;1;International;Economy;Los Angeles;Frankfurt;5;5;5;5;5;5;5
435493799;Lufthansa;4;07.11.16;Jul 16;4;International;Premium Economy;Singapore;Frankfurt;5;4;5;4;5;5;4
435369706;Lufthansa;1;07.11.16;Jul 16;4;International;Economy;Toronto;Frankfurt;1;1;1;1;1;1;1
435021580;Lufthansa;4;06.11.16;Jul 16;4;Europe;Economy;Lisbon;Frankfurt;;;;;;;
434885013;Lufthansa;4;05.11.16;Nov 16;0;International;Business Class;Vancouver;Frankfurt;4;5;4;4;4;4;5
434553672;Lufthansa;4;04.11.16;Oct 16;1;Europe;Economy;Budapest;Frankfurt;4;4;4;4;;3;4
434501416;Lufthansa;5;04.11.16;Oct 16;1;International;Economy;Bangkok;Frankfurt;3;4;4;3;4;3;4
434451405;Lufthansa;2;03.11.16;Oct 16;1;International;Premium Economy;Chicago;Frankfurt;3;4;2;1;3;1;4
434195587;Lufthansa;5;02.11.16;Jun 16;5;International;Premium Economy;Hong Kong;Frankfurt;5;5;5;5;4;5;5
433728673;Lufthansa;5;01.11.16;Oct 16;1;International;Business Class;Vancouver;Frankfurt;5;5;5;5;5;5;5
433500293;Lufthansa;3;01.11.16;Aug 16;3;Europe;Economy;Barcelona;Frankfurt;4;4;4;4;4;4;2
